restaurant_class,restaurant_name,restaurant_url,restaurant_reviews
54,Bouchon Les Lyonnais,/Restaurant_Review-g187265-d2281210-Reviews-Bouchon_Les_Lyonnais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.0 of 5 bubbles. 1,619 reviews"
55,Bouchon Des Cordeliers,/Restaurant_Review-g187265-d8665518-Reviews-Bouchon_Des_Cordeliers-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.5 of 5 bubbles. 1,267 reviews"
56,Monsieur P,/Restaurant_Review-g187265-d13200359-Reviews-Monsieur_P-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 319 reviews
57,Au Petit Bouchon Chez Georges,/Restaurant_Review-g187265-d1326311-Reviews-Au_Petit_Bouchon_Chez_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 904 reviews
58,La mere Jean,/Restaurant_Review-g187265-d785269-Reviews-La_mere_Jean-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.5 of 5 bubbles. 1,130 reviews"
59,Daniel et Denise Créqui,/Restaurant_Review-g187265-d788465-Reviews-Daniel_et_Denise_Crequi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.0 of 5 bubbles. 1,245 reviews"
60,Zappo,/Restaurant_Review-g187265-d12330374-Reviews-Zappo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 573 reviews
61,Le Boeuf D'argent,/Restaurant_Review-g187265-d4993538-Reviews-Le_Boeuf_D_argent-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5.0 of 5 bubbles. 1,128 reviews"
62,La Gargotte,/Restaurant_Review-g187265-d1331945-Reviews-La_Gargotte-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.5 of 5 bubbles. 1,166 reviews"
63,Trattino,/Restaurant_Review-g187265-d15670272-Reviews-Trattino-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 523 reviews
64,Bouchon Tupin,/Restaurant_Review-g187265-d15222656-Reviews-Bouchon_Tupin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 943 reviews
65,Copains Copines Sur la Colline,/Restaurant_Review-g187265-d7015032-Reviews-Copains_Copines_Sur_la_Colline-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 275 reviews
66,Bouchon Palais Grillet,/Restaurant_Review-g187265-d17378051-Reviews-Bouchon_Palais_Grillet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 356 reviews
